football,basketball,co_part_holonyms 
television,radio,None 
physics,chemistry,None 
seven,series,None 
man,woman,antonyms 
liquid,water,hyponyms 
king,queen,identity 
type,kind,hypernyms 
rock,jazz,None 
glass,metal,None 
journal,association,None 
computer,news,None 
five,month,None 
psychology,science,hypernyms 
food,fruit,None 
planet,moon,None 
image,surface,None 
music,project,None 
money,cash,None 
media,radio,indirect_hyponyms 
population,development,None 
planet,sun,None 
school,center,None 
experience,music,None 
space,chemistry,None 
planet,star,None 
coast,forest,None 
money,currency,hypernyms 
life,term,indirect_hypernyms 
man,governor,None 
consumer,energy,None 
life,death,part_meronyms 
problem,airport,None 
skin,eye,None 
ministry,culture,None 
street,block,None 
money,dollar,None 
cup,food,indirect_hypernyms 
street,place,indirect_hypernyms 
student,professor,None 
architecture,century,None 
train,car,member_meronyms 
century,year,indirect_part_meronyms 
coast,hill,None 
cup,object,indirect_hypernyms 
car,flight,None 
energy,secretary,None 
cup,substance,indirect_hypernyms 
street,children,None 
wood,forest,identity 
start,year,None 
cup,article,indirect_hypernyms 
century,nation,None 
plane,car,indirect_hypernyms 
holy,sex,None 
peace,plan,None 
president,medal,None 
media,gain,None 
stock,life,None 
opera,performance,None 
professor,doctor,None 
direction,combination,None 
month,hotel,None 
opera,industry,None 
drink,mother,None 
report,gain,None 
attempt,peace,None 
development,issue,indirect_hypernyms 
start,match,None 
focus,life,None 
stock,live,None 
media,trading,None 
money,operation,None 
peace,atmosphere,None 
sugar,approach,None 
minority,peace,None 
practice,institution,indirect_hyponyms 
drink,car,None 
governor,interview,None 
line,insurance,hyponyms 
travel,activity,indirect_hypernyms 
profit,loss,None 
peace,insurance,None 
investigation,effort,None 
possibility,girl,None 
